movie_id,title,tags
19995,Avatar,Action Adventure Fantasy Science Fiction Sam Worthington Zoe Saldana Sigourney Weaver J a m e s   C a m e r o n culture clash future space war space colony society space travel futuristic romance space alien tribe alien planet cgi marine soldier battle love affair anti war power relations mind and soul 3d
285,Pirates of the Caribbean: At World's End,Adventure Fantasy Action Johnny Depp Orlando Bloom Keira Knightley G o r e   V e r b i n s k i ocean drug abuse exotic island east india trading company love of one's life traitor shipwreck strong woman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstinger
206647,Spectre,Action Adventure Crime Daniel Craig Christoph Waltz Léa Seydoux S a m   M e n d e s spy based on novel secret agent sequel mi6 british secret service united kingdom
49026,The Dark Knight Rises,Action Crime Drama Thriller Christian Bale Michael Caine Gary Oldman C h r i s t o p h e r   N o l a n dc comics crime fighter terrorist secret identity burglar hostage drama time bomb gotham city vigilante cover-up superhero villainess tragic hero terrorism destruction catwoman cat burglar imax flood criminal underworld batman
49529,John Carter,Action Adventure Science Fiction Taylor Kitsch Lynn Collins Samantha Morton A n d r e w   S t a n t o n based on novel mars medallion space travel princess alien steampunk martian escape edgar rice burroughs alien race superhuman strength mars civilization sword and planet 19th century 3d
559,Spider-Man 3,Fantasy Action Adventure Tobey Maguire Kirsten Dunst James Franco S a m   R a i m i dual identity amnesia sandstorm love of one's life forgiveness spider wretch death of a friend egomania sand narcism hostility marvel comic sequel superhero revenge
38757,Tangled,Animation Family Zachary Levi Mandy Moore Donna Murphy B y r o n   H o w a r d   N a t h a n   G r e n o hostage magic horse fairy tale musical princess animation tower blonde woman selfishness healing power based on fairy tale duringcreditsstinger healing gift animal sidekick
99861,Avengers: Age of Ultron,Action Adventure Science Fiction Robert Downey Jr. Chris Hemsworth Mark Ruffalo J o s s   W h e d o n marvel comic sequel superhero based on comic book vision superhero team duringcreditsstinger marvel cinematic universe 3d
767,Harry Potter and the Half-Blood Prince,Adventure Fantasy Family Daniel Radcliffe Rupert Grint Emma Watson D a v i d   Y a t e s witch magic broom school of witchcraft wizardry apparition teenage crush werewolf
209112,Batman v Superman: Dawn of Justice,Action Adventure Fantasy Ben Affleck Henry Cavill Gal Gadot Z a c k   S n y d e r dc comics vigilante superhero based on comic book revenge super powers clark kent bruce wayne dc extended universe
1452,Superman Returns,Adventure Fantasy Action Science Fiction Brandon Routh Kevin Spacey Kate Bosworth B r y a n   S i n g e r saving the world dc comics invulnerability sequel superhero based on comic book kryptonite super powers superhuman strength lex luthor
10764,Quantum of Solace,Adventure Action Thriller Crime Daniel Craig Olga Kurylenko Mathieu Amalric M a r c   F o r s t e r killing undercover secret agent british secret service
58,Pirates of the Caribbean: Dead Man's Chest,Adventure Fantasy Action Johnny Depp Orlando Bloom Keira Knightley G o r e   V e r b i n s k i witch fortune teller bondage exotic island monster captain card game east india trading company compass ship daughter pirate swashbuckler aftercreditsstinger
